Timestamp,Temperatura,Umidità
2023-05-27 12:46:46,19.0°,52.5%
2023-05-27 12:46:47,18.8°,52.9%
2023-05-27 12:46:48,18.8°,53.3%
2023-05-27 12:46:49,18.7°,53.2%
2023-05-27 12:46:50,18.5°,53.4%
2023-05-27 12:46:51,18.3°,53.3%
2023-05-27 12:46:52,18.4°,52.9%
2023-05-27 12:46:53,18.6°,53.0%
2023-05-27 12:46:54,18.5°,53.3%
2023-05-27 12:46:55,18.4°,53.1%
2023-05-27 12:46:56,18.3°,52.5%
2023-05-27 12:46:57,18.3°,52.5%
2023-05-27 12:46:58,18.2°,52.9%
2023-05-27 12:46:59,18.4°,52.7%
2023-05-27 12:47:00,18.5°,52.6%
2023-05-27 12:47:01,18.5°,53.1%
2023-05-27 12:47:02,18.6°,53.3%
2023-05-27 12:47:03,18.6°,52.6%
2023-05-27 12:47:04,18.7°,53.2%
2023-05-27 12:47:05,18.6°,52.9%
2023-05-27 12:47:06,18.6°,52.6%
2023-05-27 12:47:07,18.5°,53.5%
2023-05-27 12:47:08,18.4°,53.4%
2023-05-27 12:47:09,18.3°,53.1%
2023-05-27 12:47:10,18.2°,52.8%
2023-05-27 12:47:11,18.3°,52.9%
2023-05-27 12:47:12,18.5°,52.7%
2023-05-27 12:47:13,18.5°,53.1%
2023-05-27 12:47:14,18.6°,52.6%
2023-05-27 12:47:15,18.5°,52.7%
2023-05-27 12:47:16,18.5°,53.1%
2023-05-27 12:47:17,18.5°,53.1%
2023-05-27 12:47:18,18.3°,53.3%
2023-05-27 12:47:19,18.3°,53.2%
2023-05-27 12:47:20,18.5°,52.8%
2023-05-27 12:47:21,18.7°,52.7%
2023-05-27 12:47:22,18.5°,52.9%
2023-05-27 12:47:23,18.6°,53.1%
2023-05-27 12:47:24,18.6°,53.2%
2023-05-27 12:47:25,18.8°,52.9%
2023-05-27 12:47:26,18.9°,53.3%
2023-05-27 12:47:27,19.0°,52.5%
2023-05-27 12:47:28,19.1°,53.2%
2023-05-27 12:47:29,19.2°,52.6%
2023-05-27 12:47:30,19.1°,53.5%
2023-05-27 12:47:32,19.1°,53.3%
2023-05-27 12:47:33,19.1°,52.7%
2023-05-27 12:47:34,19.1°,53.0%
2023-05-27 12:47:35,19.3°,53.0%
2023-05-27 12:47:36,19.4°,52.5%
2023-05-27 12:47:37,19.5°,52.8%
2023-05-27 12:47:38,19.7°,53.0%
2023-05-27 12:47:39,19.5°,53.4%
2023-05-27 12:47:40,19.5°,52.6%
2023-05-27 12:47:41,19.6°,53.2%
2023-05-27 12:47:42,19.8°,53.4%
2023-05-27 12:47:43,19.7°,53.0%
2023-05-27 12:47:44,19.6°,53.5%
2023-05-27 12:47:45,19.6°,52.9%
2023-05-27 12:47:46,19.5°,52.7%
2023-05-27 12:47:47,19.6°,53.4%
2023-05-27 12:47:48,19.7°,53.3%
2023-05-27 12:47:49,19.6°,52.5%
2023-05-27 12:47:50,19.7°,52.9%
2023-05-27 12:47:51,19.6°,53.1%
2023-05-27 12:47:52,19.7°,52.6%
2023-05-27 12:47:53,19.7°,52.7%
2023-05-27 12:47:54,19.7°,52.7%
2023-05-27 12:47:55,19.6°,52.6%
2023-05-27 12:47:56,19.5°,52.8%
2023-05-27 12:47:57,19.6°,52.7%
2023-05-27 12:47:58,19.5°,52.6%
2023-05-27 12:47:59,19.6°,52.8%
2023-05-27 12:48:00,19.5°,53.5%
2023-05-27 12:48:01,19.5°,52.6%
2023-05-27 12:48:02,19.7°,52.5%
2023-05-27 12:48:03,19.6°,53.1%
2023-05-27 12:48:04,19.5°,52.6%
2023-05-27 12:48:05,19.6°,52.6%
2023-05-27 12:48:06,19.5°,52.7%
2023-05-27 12:48:07,19.4°,53.2%
2023-05-27 12:48:08,19.6°,53.5%
2023-05-27 12:48:09,19.5°,53.2%
2023-05-27 12:48:10,19.5°,53.4%
2023-05-27 12:48:11,19.6°,53.1%
2023-05-27 12:48:12,19.8°,53.5%
2023-05-27 12:48:13,19.7°,52.9%
2023-05-27 12:48:14,19.8°,52.6%
2023-05-27 12:48:15,19.6°,53.3%
2023-05-27 12:48:16,19.5°,52.9%
2023-05-27 12:48:17,19.7°,53.2%
2023-05-27 12:48:18,19.6°,53.0%
2023-05-27 12:48:19,19.6°,52.7%
